Truck : Ship Cost Ratio,PortalLite: Orders Complete,PortalLite: Total Cost,PortalLite: Cost / Order,Current State: Orders Complete,Current State: Total Cost,Current State: Cost / Order
4.5,356,119.602,0.335960674,363,146.449,0.403440771
4.5,335,110.766,0.330644776,338,131.452,0.388911243
4.5,339,114.546,0.337893805,344,140.458,0.40830814
4.5,335,113.61,0.339134328,339,138.445,0.40839233
4.5,330,116.258,0.35229697,343,145.534,0.424297376
4.5,305,109.487,0.35897377,312,130.107,0.417009615
4.5,333,113.034,0.339441441,340,139.194,0.409394118
4.5,318,109.173,0.343311321,324,132.582,0.409203704
4.5,329,114.182,0.347057751,337,141.426,0.419661721
4.5,342,112.38,0.328596491,350,142.029,0.405797143
4.5,345,115.57,0.334985507,355,145.3,0.409295775
4.5,331,111.707,0.337483384,342,138.785,0.405804094
4.5,305,107.098,0.351140984,307,130.39,0.424723127
4.5,338,114.794,0.339627219,341,138.119,0.405041056
4.5,308,108.341,0.351756494,318,132.299,0.416034591
4.5,320,112.578,0.35180625,331,138.246,0.417661631
4.5,317,106.696,0.336580442,317,127.382,0.401835962
4.5,319,107.792,0.337905956,326,134.549,0.412726994
4.5,308,112.323,0.364685065,321,137.586,0.428616822
4.5,320,115.94,0.3623125,327,141.865,0.43383792
4.5,334,120.557,0.360949102,340,146.992,0.432329412
4.5,321,110.716,0.344909657,333,136.058,0.408582583
4.5,319,105.562,0.330915361,322,127.154,0.394888199
4.5,342,127.218,0.371982456,349,155.563,0.445739255
4.5,330,110.405,0.334560606,337,134.836,0.400106825
4.5,349,118.579,0.339767908,357,145.831,0.408490196
4.5,300,104.973,0.34991,305,127.821,0.419085246
4.5,340,120.597,0.354697059,350,149.072,0.42592
4.5,352,115.102,0.326994318,356,137.797,0.387070225
4.5,305,106.507,0.349203279,309,125.141,0.404987055
